,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
316,180381.0,2.09,6.99,1.92,6.44,1.88,6.31,1.99,6.66,2.15,7.21
317,188761.0,,,,,,,,,,
318,170475.0,,,,,,,,,,
319,193863.0,,,,,,,,,,
320,189971.0,,,,,,,,,,
321,182205.0,4.11,4.82,3.93,4.61,3.97,4.67,3.86,4.54,3.69,4.34
322,175404.0,0.0,0.0,3.31,4.21,3.44,4.37,2.36,3.0,2.57,3.26
323,168725.0,,,,,,,,,,
324,190597.0,,,,,,,,,,
325,180374.0,2.33,7.38,2.17,6.89,2.16,6.85,2.14,6.79,2.09,6.62
326,177381.0,4.49,4.31,3.44,3.3,3.7,3.56,3.92,3.77,0.0,0.0
327,171515.0,,,,,,,,,,
328,174797.0,0.0,0.0,4.58,4.58,4.65,4.65,4.48,4.48,4.74,4.74
329,189111.0,0.0,0.0,3.67,5.28,3.82,5.49,3.88,5.58,3.88,5.59
330,49230.0,,,,,,,,,,
331,198564.0,,,,,,,,,,
332,189049.0,,,,,,,,,,
333,182014.0,2.75,3.5,3.34,4.25,3.49,4.45,3.41,4.34,3.19,4.06
334,188056.0,3.42,5.58,3.44,5.6,3.37,5.5,3.34,5.44,3.25,5.31
335,175316.0,3.64,4.44,3.77,4.61,3.85,4.7,3.65,4.46,3.79,4.63
336,164968.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
337,164155.0,2.77,4.53,2.82,4.59,3.04,4.96,3.28,5.36,2.78,4.53
338,201288.0,,,,,,,,,,
339,187828.0,,,,,,,,,,
340,185272.0,,,,,,,,,,
341,172458.0,,,,,,,,,,
342,157052.0,,,,,,,,,,
343,154298.0,5.6,1.4,7.32,1.83,6.81,1.7,7.05,1.76,6.89,1.72
344,142266.0,4.1,5.9,3.19,4.6,2.78,3.99,3.14,4.51,3.11,4.47
345,206634.0,,,,,,,,,,
346,189670.0,,,,,,,,,,
347,191613.0,,,,,,,,,,
348,172392.0,,,,,,,,,,
349,201959.0,,,,,,,,,,
350,179158.0,2.86,4.66,2.88,4.71,2.98,4.86,3.07,5.02,3.13,5.1
351,187526.0,4.0,6.0,3.34,5.02,3.36,5.05,3.29,4.93,3.44,5.16
352,192608.0,,,,,,,,,,
353,184915.0,,,,,,,,,,
354,188990.0,,,,,,,,,,
355,142699.0,4.42,4.42,4.33,4.33,4.28,4.28,4.38,4.38,4.54,4.54
356,104283.0,,,,,,,,,,
357,179976.0,,,,,,,,,,
358,182084.0,,,,,,,,,,
359,188045.0,,,,,,,,,,
360,196950.0,,,,,,,,,,
361,190004.0,,,,,,,,,,
362,203220.0,,,,,,,,,,
363,192611.0,,,,,,,,,,
364,174301.0,4.48,4.67,4.49,4.68,4.41,4.59,4.35,4.52,4.21,4.38
365,189337.0,,,,,,,,,,
366,150637.0,4.38,3.45,4.6,3.61,4.53,3.56,4.55,3.58,4.68,3.67
367,140696.0,3.01,3.14,3.19,3.33,3.46,3.61,3.08,3.21,3.43,3.57
