,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
377,192482.0,,,,,,,,,,
378,86137.0,,,,,,,,,,
379,162173.0,0.86,1.14,15.05,19.95,14.19,18.81,9.89,13.11,3.01,3.99
380,146506.0,1.84,2.16,18.4,21.6,11.96,14.04,10.12,11.88,3.22,3.78
381,121303.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,137008.0,2.45,2.55,24.99,26.01,12.25,12.75,6.86,7.14,2.94,3.06
383,154112.0,1.5,1.5,27.5,27.5,12.5,12.5,6.0,6.0,2.5,2.5
384,134895.0,2.0,3.0,17.6,26.4,9.2,13.8,8.8,13.2,2.4,3.6
385,144280.0,1.23,1.77,17.63,25.37,10.25,14.75,9.43,13.57,2.46,3.54
386,146469.0,1.84,2.16,20.7,24.3,11.96,14.04,8.74,10.26,2.76,3.24
387,127382.0,2.45,2.55,24.5,25.5,10.78,11.22,9.31,9.69,2.45,2.55
388,142384.0,1.38,1.62,19.78,23.22,11.5,13.5,10.12,11.88,3.22,3.78
389,146530.0,0.0,0.0,13.34,32.66,13.34,32.66,1.16,2.84,1.16,2.84
390,142459.0,,,,,,,,,,
391,143473.0,2.5,2.5,32.0,32.0,9.0,9.0,5.5,5.5,1.5,1.5
392,142304.0,0.0,0.0,20.52,15.48,20.52,15.48,10.26,7.74,5.7,4.3
393,175040.0,1.08,1.92,10.8,19.2,18.72,33.28,1.08,1.92,4.32,7.68
394,13895.0,,,,,,,,,,
395,174627.0,0.0,0.0,12.5,37.5,6.25,18.75,6.25,18.75,0.0,0.0
396,144266.0,1.2,0.8,27.0,18.0,16.2,10.8,10.2,6.8,4.8,3.2
397,172805.0,,,,,,,,,,
398,194730.0,,,,,,,,,,
399,193601.0,,,,,,,,,,
400,154270.0,4.64,3.36,24.36,17.64,14.5,10.5,6.96,5.04,6.96,5.04
401,187336.0,,,,,,,,,,
402,168013.0,,,,,,,,,,
403,168042.0,,,,,,,,,,
404,149059.0,1.16,0.84,25.52,18.48,19.14,13.86,9.28,6.72,2.32,1.68
405,164139.0,1.65,1.35,20.35,16.65,17.6,14.4,13.75,11.25,2.2,1.8
406,10922.0,0.78,1.22,25.74,40.26,9.36,14.64,2.34,3.66,0.78,1.22
407,39893.0,,,,,,,,,,
408,167603.0,,,,,,,,,,
409,179866.0,,,,,,,,,,
410,181210.0,,,,,,,,,,
411,56631.0,,,,,,,,,,
412,10062.0,,,,,,,,,,
413,180026.0,,,,,,,,,,
414,146508.0,0.58,1.42,15.08,36.92,6.38,15.62,3.77,9.23,3.19,7.81
415,160721.0,2.58,3.42,32.25,42.75,6.45,8.55,0.86,1.14,0.43,0.57
416,141206.0,0.74,1.26,15.91,27.09,8.88,15.12,7.77,13.23,3.33,5.67
417,157974.0,1.14,0.86,19.38,14.62,19.38,14.62,17.1,12.9,0.0,0.0
418,63969.0,0.0,0.0,40.0,10.8,20.0,5.4,20.0,5.4,20.0,5.4
419,58333.0,,,,,,,,,,
420,99664.0,,,,,,,,,,
421,168298.0,1.44,1.56,27.84,30.16,12.48,13.52,4.32,4.68,1.44,1.56
422,38823.0,,,,,,,,,,
423,140652.0,3.22,3.78,28.98,34.02,7.82,9.18,4.14,4.86,1.38,1.62
424,168069.0,,,,,,,,,,
425,83214.0,,,,,,,,,,
426,163711.0,,,,,,,,,,
427,186402.0,,,,,,,,,,
428,179327.0,,,,,,,,,,
429,193041.0,,,,,,,,,,
