code,num_per_ages
151715,"['0%', '32%', '30%', '26%', '12%']"
14561,[]
142251,"['0%', '50%', '33%', '17%', '0%']"
159785,"['0%', '67%', '33%', '0%', '0%']"
154467,[]
170419,[]
162217,[]
162877,[]
146485,"['2%', '54%', '23%', '13%', '7%']"
47384,[]
163420,[]
142803,"['8%', '55%', '18%', '15%', '3%']"
44913,"['3%', '57%', '25%', '10%', '4%']"
123519,"['3%', '61%', '23%', '10%', '4%']"
154214,"['2%', '56%', '27%', '12%', '3%']"
115504,"['6%', '58%', '20%', '13%', '3%']"
140695,"['4%', '54%', '23%', '15%', '4%']"
154253,[]
168092,"['1%', '43%', '31%', '13%', '12%']"
163861,[]
153342,"['0%', '60%', '40%', '0%', '0%']"
167788,[]
137905,[]
115642,"['6%', '66%', '15%', '10%', '2%']"
177532,[]
52012,[]
158644,[]
115520,"['2%', '76%', '13%', '6%', '3%']"
139698,"['0%', '14%', '83%', '3%', '0%']"
146386,"['5%', '57%', '23%', '5%', '9%']"
158660,[]
122195,"['6%', '62%', '17%', '14%', '2%']"
140228,[]
147607,[]
159725,[]
154595,[]
33012,[]
127375,"['3%', '65%', '19%', '9%', '4%']"
144221,"['2%', '44%', '32%', '12%', '10%']"
159154,[]
154423,[]
100647,"['5%', '44%', '25%', '20%', '7%']"
118955,"['3%', '33%', '42%', '17%', '6%']"
134859,"['4%', '49%', '18%', '22%', '8%']"
137344,[]
155025,[]
153656,[]
125444,"['6%', '42%', '23%', '25%', '5%']"
136884,[]
144938,"['2%', '17%', '57%', '23%', '1%']"
159727,[]
135011,[]
129066,[]
154461,"['1%', '73%', '21%', '2%', '2%']"
